Boiler CE,Boiler space heating CE,Boiler space cooling CE,Boiler space cond'g CE,Boiler DHW CE,Chiller CE,Chiller heat rej. pump CE,System auxiliary energy CE,DHW & solar heating pump CE,Lights CE,Boiler pump CE [obs],System air fan CE [obs],Aux mech vent fan CE [obs],Sys Boiler process CE,Sys Chiller process CE
0.40330416,0.40330416,0.0,0.40330416,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.40487647,0.40487647,0.0,0.40487647,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.40537125,0.40537125,0.0,0.40537125,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.40517956,0.40517956,0.0,0.40517956,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.39392158,0.39392158,0.0,0.39392158,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.36199823,0.36199823,0.0,0.36199823,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.29730573,0.29730573,0.0,0.29730573,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.23839647,0.23839647,0.0,0.23839647,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.21050152,0.21050152,0.0,0.21050152,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.20187795,0.20187795,0.0,0.20187795,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.22588962,0.22588962,0.0,0.22588962,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.2969811,0.2969811,0.0,0.2969811,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.360719,0.360719,0.0,0.360719,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.3781882,0.3781882,0.0,0.3781882,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.38820866,0.38820866,0.0,0.38820866,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.3960141,0.3960141,0.0,0.3960141,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.4023474,0.4023474,0.0,0.4023474,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.4085733,0.4085733,0.0,0.4085733,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.41278946,0.41278946,0.0,0.41278946,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.41772538,0.41772538,0.0,0.41772538,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.4213271,0.4213271,0.0,0.4213271,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.4243789,0.4243789,0.0,0.4243789,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.42698926,0.42698926,0.0,0.42698926,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.42769596,0.42769596,0.0,0.42769596,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.42755157,0.42755157,0.0,0.42755157,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.4278384,0.4278384,0.0,0.4278384,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.42974728,0.42974728,0.0,0.42974728,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.43091956,0.43091956,0.0,0.43091956,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.41232124,0.41232124,0.0,0.41232124,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.37431887,0.37431887,0.0,0.37431887,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.3226468,0.3226468,0.0,0.3226468,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.26299268,0.26299268,0.0,0.26299268,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.23616317,0.23616317,0.0,0.23616317,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.26543045,0.26543045,0.0,0.26543045,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.3219806,0.3219806,0.0,0.3219806,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.36908,0.36908,0.0,0.36908,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.39880902,0.39880902,0.0,0.39880902,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.40888485,0.40888485,0.0,0.40888485,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.41450614,0.41450614,0.0,0.41450614,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.41867852,0.41867852,0.0,0.41867852,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.42146125,0.42146125,0.0,0.42146125,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.42332786,0.42332786,0.0,0.42332786,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.4251284,0.4251284,0.0,0.4251284,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.42665035,0.42665035,0.0,0.42665035,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.42851323,0.42851323,0.0,0.42851323,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.4303646,0.4303646,0.0,0.4303646,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.43205726,0.43205726,0.0,0.43205726,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.43324387,0.43324387,0.0,0.43324387,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.43378586,0.43378586,0.0,0.43378586,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.43331757,0.43331757,0.0,0.43331757,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.43458974,0.43458974,0.0,0.43458974,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
0.4374036,0.4374036,0.0,0.4374036,0.0,0.0,0.0,0.18801203,0.0,0.0,,,,0.0,0.0
