Room heating plant sens. load,Room hum. plant load,System air heating load,Aux vent heating load,DHW heating demand,DHW flow rate,Solar heating system input,Solar htg system tank temp,DHW solar htg system panel temp,DHW solar htg system flow rate,DHW solar heat input,Boiler load,Boiler space heating load,Boiler space cooling load,Boiler space cond'g load,Boiler DHW load,CH[C]P heat contribution,Room cooling plant sens. load,Room dehum. plant load,System air sens. clg. load,System air lat. clg. load,Aux vent sens. clg. load,Aux vent lat. clg. load,Chiller load,System air flow rate,System air heat recovery temp,System air supply temperature,System air supply moisture content,Aux vent flow rate,Boiler process load,Chiller process load,Process heat removal,Process heat available for recovery,Process heat recovered,Process heat recovery heat pump
5502.3965,0.0,0.0,0.0,0.0,,0.0,,,,,6121.4165,6121.4165,0.0,6121.4165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75000006,0.75000006,0.0035803567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5056.4834,0.0,0.0,0.0,0.0,,0.0,,,,,5625.338,5625.338,0.0,5625.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1000001,1.1000001,0.0036046228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4152.843,0.0,0.0,0.0,0.0,,0.0,,,,,4620.037,4620.037,0.0,4620.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,1.45,0.0035988288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3329.9824,0.0,0.0,0.0,0.0,,0.0,,,,,3704.6055,3704.6055,0.0,3704.6055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0500002,2.0500002,0.003703218,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2940.339,0.0,0.0,0.0,0.0,,0.0,,,,,3271.1274,3271.1274,0.0,3271.1274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,2.75,0.0037699514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2819.8828,0.0,0.0,0.0,0.0,,0.0,,,,,3137.1194,3137.1194,0.0,3137.1194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3000002,3.3000002,0.003647686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3155.2837,0.0,0.0,0.0,0.0,,0.0,,,,,3510.253,3510.253,0.0,3510.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55,3.55,0.0035059382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4148.3076,0.0,0.0,0.0,0.0,,0.0,,,,,4614.992,4614.992,0.0,4614.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3000004,3.3000004,0.0034657428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5038.615,0.0,0.0,0.0,0.0,,0.0,,,,,5605.459,5605.459,0.0,5605.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6000001,2.6000001,0.0034715654,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5282.6294,0.0,0.0,0.0,0.0,,0.0,,,,,5876.925,5876.925,0.0,5876.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9500002,1.9500002,0.0034239546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5422.5977,0.0,0.0,0.0,0.0,,0.0,,,,,6032.6396,6032.6396,0.0,6032.6396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4000001,1.4000001,0.0033729153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5531.626,0.0,0.0,0.0,0.0,,0.0,,,,,6153.933,6153.933,0.0,6153.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.85,0.0033831256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5620.0913,0.0,0.0,0.0,0.0,,0.0,,,,,6252.352,6252.352,0.0,6252.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50000006,0.50000006,0.0033584614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5707.0557,0.0,0.0,0.0,0.0,,0.0,,,,,6349.0996,6349.0996,0.0,6349.0996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-0.3,0.0032228334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5765.9487,0.0,0.0,0.0,0.0,,0.0,,,,,6414.618,6414.618,0.0,6414.618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5,0.0031977757,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5834.894,0.0,0.0,0.0,0.0,,0.0,,,,,6491.32,6491.32,0.0,6491.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.25,0.0033028666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5885.2046,0.0,0.0,0.0,0.0,,0.0,,,,,6547.2905,6547.2905,0.0,6547.2905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8000001,-0.8000001,0.0031780968,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5927.8325,0.0,0.0,0.0,0.0,,0.0,,,,,6594.7134,6594.7134,0.0,6594.7134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2499999,-1.2499999,0.003052832,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5964.295,0.0,0.0,0.0,0.0,,0.0,,,,,6635.278,6635.278,0.0,6635.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.25,-1.25,0.0030528323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5974.167,0.0,0.0,0.0,0.0,,0.0,,,,,6646.26,6646.26,0.0,6646.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.75000006,-0.75000006,0.0031264005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5972.1494,0.0,0.0,0.0,0.0,,0.0,,,,,6644.0156,6644.0156,0.0,6644.0156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.25,0.0032695453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5976.156,0.0,0.0,0.0,0.0,,0.0,,,,,6648.473,6648.473,0.0,6648.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-0.3,0.0033216206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6002.82,0.0,0.0,0.0,0.0,,0.0,,,,,6678.1367,6678.1367,0.0,6678.1367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,-0.6,0.0032346358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
