Boiler energy,Boiler space heating energy,Boiler space cooling energy,Boiler space cond'g energy,Boiler DHW energy,Chiller energy,Chiller heat rej fans/pumps energy,System auxiliary energy,DHW & solar heating pump energy,Lights energy,Boiler pump energy [obs],System air fan energy [obs],Aux mech vent fan energy [obs],Boiler process energy,Chiller process energy
7574.038,7574.038,0.0,7574.038,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7565.8623,7565.8623,0.0,7565.8623,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7588.075,7588.075,0.0,7588.075,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7637.2056,7637.2056,0.0,7637.2056,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7124.1978,7124.1978,0.0,7124.1978,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
5789.928,5789.928,0.0,5789.928,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
5040.05,5040.05,0.0,5040.05,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
4836.3,4836.3,0.0,4836.3,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
4898.5005,4898.5005,0.0,4898.5005,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
5020.527,5020.527,0.0,5020.527,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
5011.0557,5011.0557,0.0,5011.0557,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
5543.4473,5543.4473,0.0,5543.4473,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
6868.9053,6868.9053,0.0,6868.9053,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7213.7573,7213.7573,0.0,7213.7573,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7392.081,7392.081,0.0,7392.081,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7548.8203,7548.8203,0.0,7548.8203,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7665.627,7665.627,0.0,7665.627,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7758.9194,7758.9194,0.0,7758.9194,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7862.094,7862.094,0.0,7862.094,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7893.183,7893.183,0.0,7893.183,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7918.5195,7918.5195,0.0,7918.5195,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7944.841,7944.841,0.0,7944.841,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
8005.545,8005.545,0.0,8005.545,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
8065.345,8065.345,0.0,8065.345,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
8127.6606,8127.6606,0.0,8127.6606,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
8187.8584,8187.8584,0.0,8187.8584,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
8254.116,8254.116,0.0,8254.116,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
8292.478,8292.478,0.0,8292.478,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
7466.354,7466.354,0.0,7466.354,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
5527.679,5527.679,0.0,5527.679,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
4195.8726,4195.8726,0.0,4195.8726,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
3880.1902,3880.1902,0.0,3880.1902,0.0,0.0,0.0,4229.309,0.0,0.0,,,,0.0,0.0
